구별,총 계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
종로구,2031,269.9453551912568,151127,139945,11182,28610,7.399074950207442,18.93109768605213,1.3439028102192196,-694.0122903577599
용산구,3258,3602.2727272727275,230692,216152,14540,39972,6.3027759956998946,17.32699876892133,1.4122726405770465,108.82094531268922
성동구,4409,2220.5263157894738,285543,278366,7177,48988,2.513456817362009,17.156085073001265,1.5440756733661831,967.4063008051776
광진구,3828,1138.8349514563106,351959,336604,15355,56173,4.3627240672919285,15.960097625007458,1.0876266837898731,32.3378056161946
동대문구,3268,40750.0,359113,341238,17875,66440,4.977541887929426,18.501140309596146,0.9100199658603281,-565.8006853284874
중랑구,4512,1250.8982035928143,387940,382797,5143,77949,1.325720472237975,20.09305562715884,1.163066453575295,524.5204946460244
성북구,4578,1529.1814946619218,440089,427671,12418,79739,2.8217019739189118,18.11883505381866,1.040244132436848,312.5104073837647
강북구,3331,8902.702702702703,294804,290155,4649,68119,1.576979959566356,23.106538581566056,1.1299032577576966,-159.96475939033553
도봉구,2378,79166.66666666666,310133,307740,2393,69508,0.7716044406754522,22.412319875666245,0.7667678060702988,-1194.6847660566796
노원구,3006,1826.923076923077,504423,499989,4434,95384,0.8790241523483268,18.909526330084077,0.5959284172212608,-1602.4587953608761
은평구,5027,859.3511450381679,471155,467098,4057,92820,0.8610754422642231,19.700523182392207,1.066952489095945,595.8953165691873
서대문구,3793,236.85612788632326,321379,307441,13938,57632,4.336935518499964,17.932721179666373,1.1802264615920766,160.36199531263992
마포구,3155,2742.3423423423424,375639,364257,11382,57462,3.030036817263383,15.29713368420212,0.8399021400866257,-766.9019854894896
양천구,4447,111075.0,440591,437401,3190,75420,0.7240274994269061,17.117916616544594,1.0093261097026494,178.83420910948007
강서구,3546,1070.2970297029703,569978,564339,5639,100929,0.9893364305288976,17.70752555361786,0.6221292751650064,-1411.937237334403
구로구,5003,1132.2660098522167,416815,393929,22886,79150,5.490685316027495,18.9892398306203,1.200292695800295,861.5857831520789
영등포구,4566,333.2068311195446,398290,375586,22704,66975,5.700369077807627,16.81563684752316,1.1464008636922847,523.3438967598831
동작구,3024,466.29213483146066,390740,380154,10586,69944,2.7092184061012436,17.900394123969903,0.7739161590827661,-978.406507680661
관악구,5772,645.7364341085271,500582,485172,15410,84664,3.078416722934504,16.913113136309335,1.153057840673456,1184.017853187981
서초구,5395,2276.6519823788544,410766,406404,4362,64761,1.061918464527249,15.765910518397336,1.3133998432197407,1285.8334392499792
강남구,7721,1048.9583333333335,546291,540957,5334,85288,0.9764026864802825,15.612192036844833,1.4133492955219837,2889.3398712770977
송파구,4031,1707.6233183856502,661515,655744,5771,107605,0.8723914045788834,16.26644898452794,0.6093588202837427,-1414.9275987550545
강동구,3549,521.5411558669002,462453,458385,4068,81739,0.8796569597342865,17.675093468957925,0.7674293387652367,-835.7136926283774
